Agent, Maneuver, Tactic
295,f,c
296,c,t
297,f,d
298,c,c
299,f,t
300,c,d
301,f,c
302,c,t
303,f,d
304,c,c
305,f,t
306,c,d
307,f,c
308,c,t
309,f,d
310,c,c
311,f,t
312,c,d
313,f,c
314,c,t
315,f,d
316,c,c
317,f,t
318,c,d
319,f,c
320,c,t
321,f,d
322,c,c
323,f,t
324,c,d
325,f,c
326,c,t
327,f,d
328,c,c
329,f,t
330,c,d
331,f,c
332,c,t
333,f,d
334,c,c
335,f,t
336,c,d
337,f,c
338,c,t
339,f,d
340,c,c
341,f,t
342,c,d
343,f,c
344,c,t
345,f,d
346,c,c
347,f,t
348,c,d
349,f,c
350,c,t
351,f,d
352,c,c
353,f,t
354,c,d
355,f,c
356,c,t
357,f,d
358,c,c
359,f,t
360,c,d
361,f,c
362,c,t
363,f,d
364,c,c
365,f,t
366,c,d
367,f,c
368,c,t
369,f,d
370,c,c
371,f,t
372,c,d
373,f,c
374,c,t
375,f,d
376,c,c
377,f,t
378,c,d
379,f,c
380,c,t
381,f,d
382,c,c
383,f,t
384,c,d
385,f,c
386,c,t
387,f,d
388,c,c
389,f,t
390,c,d
391,f,c
392,c,t
393,f,d
394,c,c
395,f,t
396,c,d
397,f,c
398,c,t
399,f,d
400,c,c
401,f,t
402,c,d
403,f,c
404,c,t
405,f,d
406,c,c
407,f,t
408,c,d
409,f,c
410,c,t
411,f,d
412,c,c
413,f,t
414,c,d
415,f,c
416,c,t
417,f,d
418,c,c
419,f,t
420,c,d
421,f,c
422,c,t
423,f,d
424,c,c
425,f,t
426,c,d
427,f,c
428,c,t
429,f,d
430,c,c
431,f,t
432,c,d
433,f,c
434,c,t
435,f,d
436,c,c
437,f,t
438,c,d
439,f,c
440,c,t
441,f,d
442,c,c
443,f,t
444,c,d
445,f,c
446,c,t
447,f,d
448,c,c
449,f,t
450,c,d
451,f,c
452,c,t
453,f,d
454,c,c
455,f,t
456,c,d
457,f,c
458,c,t
459,f,d
460,c,c
461,f,t
462,c,d
463,f,c
464,c,t
465,f,d
466,c,c
467,f,t
468,c,d
469,f,c
470,c,t
471,f,d
472,c,c
473,f,t
474,c,d
475,f,c
476,c,t
477,f,d
478,c,c
479,f,t
480,c,d
481,f,c
482,c,t
483,f,d
484,c,c
485,f,t
486,c,d
487,f,c
488,c,t
489,f,d
490,c,c
491,f,t
492,c,d
493,f,c
494,c,t
495,f,d
496,c,c
497,f,t
498,c,d
499,f,c
500,c,t
501,f,d
502,c,c
503,f,t
504,c,d
505,f,c
506,c,t
507,f,d
508,c,c
509,f,t
510,c,d
511,f,c
512,c,t
513,f,d
514,c,c
515,f,t
516,c,d
517,f,c
518,c,t
519,f,d
520,c,c
521,f,t
522,c,d
523,f,c
524,c,t
525,f,d
526,c,c
527,f,t
528,c,d
529,f,c
530,c,t
531,f,d
532,c,c
533,f,t
534,c,d
535,f,c
536,c,t
537,f,d
538,c,c
539,f,t
540,c,d
541,f,c
542,c,t
543,f,d
544,c,c
545,f,t
546,c,d
547,f,c
548,c,t
549,f,d
550,c,c
551,f,t
552,c,d
553,f,c
554,c,t
555,f,d
556,c,c
557,f,t
558,c,d
559,f,c
560,c,t
561,f,d
562,c,c
563,f,t
564,c,d
565,f,c
566,c,t
567,f,d
568,c,c
569,f,t
570,c,d
571,f,c
572,c,t
573,f,d
574,c,c
575,f,t
576,c,d
577,f,c
578,c,t
579,f,d
580,c,c
581,f,t
582,c,d
583,f,c
584,c,t
585,f,d
586,c,c
587,f,t
588,c,d
589,f,c
590,c,t
591,f,d
592,c,c
593,f,t
594,c,d
595,f,c
596,c,t
597,f,d
598,c,c
599,f,t
600,c,d
601,f,c
602,c,t
603,f,d
604,c,c
605,f,t
606,c,d
607,f,c
608,c,t
609,f,d
610,c,c
611,f,t
612,c,d
613,f,c
614,c,t
615,f,d
616,c,c
617,f,t
618,c,d
619,f,c
620,c,t
621,f,d
622,c,c
623,f,t
624,c,d
625,f,c
626,c,t
627,f,d
628,c,c
629,f,t
630,c,d
631,f,c
632,c,t
633,f,d
634,c,c
635,f,t
636,c,d
637,f,c
638,c,t
639,f,d
640,c,c
641,f,t
642,c,d
643,f,c
644,c,t
645,f,d
646,c,c
647,f,t
648,c,d
649,f,c
650,c,t
651,f,d
652,c,c
653,f,t
654,c,d
655,f,c
656,c,t
657,f,d
658,c,c
659,f,t
660,c,d
661,f,c
662,c,t
663,f,d
664,c,c
665,f,t
666,c,d
667,f,c
668,c,t
669,f,d
670,c,c
671,f,t
672,c,d
673,f,c
674,c,t
675,f,d
676,c,c
677,f,t
678,c,d
679,f,c
680,c,t
681,f,d
682,c,c
683,f,t
684,c,d
685,f,c
686,c,t
687,f,d
688,c,c
689,f,t
690,c,d
691,f,c
692,c,t
693,f,d
694,c,c
695,f,t
696,c,d
697,f,c
698,c,t
699,f,d
700,c,c
701,f,t
702,c,d
703,f,c
704,c,t
705,f,d
706,c,c
707,f,t
708,c,d
709,f,c
710,c,t
711,f,d
712,c,c
713,f,t
714,c,d
715,f,c
716,c,t
717,f,d
718,c,c
719,f,t
720,c,d
721,f,c
722,c,t
723,f,d
724,c,c
725,f,t
726,c,d
727,f,c
728,c,t
729,f,d
730,c,c
731,f,t
732,c,d
733,f,c
734,c,t
735,f,d
736,c,c
737,f,t
738,c,d
739,f,c
740,c,t
741,f,d
742,c,c
743,f,t
744,c,d
745,f,c
746,c,t
747,f,d
748,c,c
749,f,t
750,c,d
751,f,c
752,c,t
753,f,d
754,c,c
755,f,t
756,c,d
757,f,c
758,c,t
759,f,d
760,c,c
761,f,t
762,c,d
763,f,c
764,c,t
765,f,d
766,c,c
767,f,t
768,c,d
769,f,c
770,c,t
771,f,d
772,c,c
773,f,t
774,c,d
775,f,c
776,c,t
777,f,d
778,c,c
779,f,t
780,c,d
781,f,c
782,c,t
783,f,d
784,c,c
785,f,t
786,c,d
787,f,c
788,c,t
789,f,d
790,c,c
791,f,t
792,c,d
793,f,c
794,c,t
795,f,d
796,c,c
797,f,t
798,c,d
799,f,c
800,c,t
801,f,d
802,c,c
803,f,t
804,c,d
805,f,c
806,c,t
807,f,d
808,c,c
809,f,t
810,c,d
811,f,c
812,c,t
813,f,d
814,c,c
815,f,t
816,c,d
817,f,c
818,c,t
819,f,d
820,c,c
821,f,t
822,c,d
823,f,c
824,c,t
825,f,d
826,c,c
827,f,t
828,c,d
829,f,c
830,c,t
831,f,d
832,c,c
833,f,t
834,c,d
835,f,c
836,c,t
837,f,d
838,c,c
839,f,t
840,c,d
841,f,c
842,c,t
843,f,d
844,c,c
845,f,t
846,c,d
847,f,c
848,c,t
849,f,d
850,c,c
851,f,t
852,c,d
853,f,c
854,c,t
855,f,d
856,c,c
857,f,t
858,c,d
859,f,c
860,c,t
861,f,d
862,c,c
863,f,t
864,c,d
865,f,c
866,c,t
867,f,d
868,c,c
869,f,t
870,c,d
871,f,c
872,c,t
873,f,d
874,c,c
875,f,t
876,c,d
877,f,c
878,c,t
879,f,d
880,c,c
881,f,t
882,c,d
883,f,c
884,c,t
885,f,d
886,c,c
887,f,t
888,c,d
889,f,c
890,c,t
891,f,d
892,c,c
893,f,t
894,c,d
895,f,c
896,c,t
897,f,d
898,c,c
899,f,t
900,c,d
901,f,c
902,c,t
903,f,d
904,c,c
905,f,t
906,c,d
907,f,c
908,c,t
909,f,d
910,c,c
911,f,t
912,c,d
913,f,c
914,c,t
915,f,d
916,c,c
917,f,t
918,c,d
919,f,c
920,c,t
921,f,d
922,c,c
923,f,t
924,c,d
925,f,c
926,c,t
927,f,d
928,c,c
929,f,t
930,c,d
931,f,c
932,c,t
933,f,d
934,c,c
935,f,t
936,c,d
937,f,c
938,c,t
939,f,d
940,c,c
941,f,t
942,c,d
943,f,c
944,c,t
945,f,d
946,c,c
947,f,t
948,c,d
949,f,c
950,c,t
951,f,d
952,c,c
953,f,t
954,c,d
955,f,c
956,c,t
957,f,d
958,c,c
959,f,t
960,c,d
961,f,c
962,c,t
963,f,d
964,c,c
965,f,t
966,c,d
967,f,c
968,c,t
969,f,d
970,c,c
971,f,t
972,c,d
973,f,c
974,c,t
975,f,d
976,c,c
977,f,t
978,c,d
979,f,c
980,c,t
981,f,d
982,c,c
983,f,t
984,c,d
985,f,c
986,c,t
987,f,d
988,c,c
989,f,t
990,c,d
991,f,c
992,c,t
993,f,d
994,c,c
995,f,t
996,c,d
997,f,c
998,c,t
999,f,d
