Key, Value
6180458201104,0
6180459184158,1
6180459118620,2
6180457938990,2
6180460036140,0
6180458987548,0
6180463902812,0
6180457939040,3
6180464164962,0
6180457939043,3
6180458987554,0
6180457938957,2
6180459053078,0
6180462461017,2
6180461543508,1
6180460953680,0
6180463640674,2
6180457938966,2
6180463247453,3
6180463640667,2
6180463640668,2
6180462854228,3
6180463771745,0
6180457939037,3
6180462788683,1
6180460888156,2
6180462788689,1
6180462788695,1
6180458004484,0
6180462461003,3
6180460232790,0
6180457939029,2
6180462067786,2
6180460232788,1
6180459184204,0
6180457939016,3
6180460888155,2
6180457938954,2
6180461674570,2
6180461674559,3
6180457938948,2
6180457938952,2
6180459511861,2
6180457938959,3
6180458725410,2
6180457939011,2
6180457938947,3
6176163233808,0
6176164216862,1
6176164151324,2
6176162971694,2
6176165068844,0
6176164020252,0
6176168935516,0
6176162971744,3
6176169197666,0
6176162971747,3
6176164020258,0
6176162971661,2
6176164085782,0
6176167493721,2
6176166576212,1
6176165986384,0
6176168673378,2
6176162971670,2
6176168280157,3
6176168673371,2
6176168673372,2
6176168280151,3
6176167886932,3
6176168804449,0
6176162971741,3
6176167821387,1
6176165920860,2
6176167821393,1
6176167821399,1
6176163037188,0
6176167493707,3
6176165265494,0
6176162971733,2
6176167100490,2
6176165265492,1
6176164216908,0
6176162971720,3
6176165920859,2
6176162971658,2
6176166707263,3
6176162971652,2
6176162971656,2
6176164544565,2
6176162971663,3
6176163758114,2
6176162971715,2
6176162971651,3
6171868266504,0
6171868266512,0
6171869249566,1
6171869184028,2
6171868004398,2
6171870101548,0
6171869052956,0
6171873968220,0
6171868004448,3
6171874230370,0
6171868004451,3
6171869052962,0
6171868004365,2
6171869118486,0
6171872526425,2
6171871608916,1
6171871019088,0
6171873706082,2
6171868004374,2
6171873312861,3
6171873706075,2
6171873706076,2
6171873312855,3
6171872919636,3
6171873837153,0
6171868004445,3
6171872854091,1
6171870953564,2
6171872854097,1
6171872854103,1
6171868069892,0
6171872526411,3
6171870298198,0
6171868004437,2
6171872133194,2
6171870298196,1
6171869249612,0
6171868004424,3
6171870953563,2
6171868004362,2
6171871739967,3
6171868004356,2
6171868004360,2
6171869577269,2
6171868004367,3
6171868790818,2
6171868004419,2
6171868004355,3
6167573299208,0
6167573299216,0
6167574282270,1
6167574216732,2
6167573037102,2
6167575134252,0
6167574085660,0
6167579000924,0
6167573037152,3
6167579263074,0
6167573037155,3
6167574085666,0
6167573037069,2
6167574151190,0
6167577559129,2
6167576641620,1
6167576051792,0
6167578738786,2
6167573037078,2
6167578345565,3
6167578738779,2
6167578738780,2
6167578345559,3
6167577952340,3
6167578869857,0
6167573037149,3
6167575986268,2
6167577886801,1
6167577886807,1
6167573102596,0
6167577559115,3
6167575330902,0
6167573037141,2
6167577165898,2
6167575330900,1
6167573037128,3
6167575986267,2
6167573037066,2
6167576772671,3
6167573037060,2
6167573037064,2
6167574609973,2
6167573037071,3
6167573823522,2
6167573037123,2
6167573037059,3
6163278331920,0
6163279314974,1
6163279249436,2
6163278069806,2
6163280166956,0
6163279118364,0
6163284033628,0
6163278069856,3
6163284295778,0
6163278069859,3
6163279118370,0
6163278069773,2
6163279183894,0
6163282591833,2
6163281674324,1
6163281084496,0
6163283771490,2
6163278069782,2
6163283378269,3
6163283771483,2
6163283771484,2
6163283378263,3
6163282985044,3
6163283902561,0
6163278069853,3
6163281018972,2
6163282919505,1
6163282919511,1
6163278135300,0
6163282591819,3
6163280363606,0
6163278069845,2
6163282198602,2
6163280363604,1
6163279315020,0
6163278069832,3
6163281018971,2
6163278069770,2
6163281805375,3
6163278069764,2
6163278069768,2
6163278921752,1
6163279642677,2
6163278069775,3
6163278856226,2
6163278069827,2
6163278069763,3
6158983364616,0
6158983364624,0
6158984347678,1
6158984282140,2
6158983102510,2
6158985199660,0
6158984151068,0
6158989066332,0
6158983102560,3
6158989328482,0
6158983102563,3
6158984151074,0
6158983102477,2
6158984216598,0
6158987624537,2
6158986707028,1
6158986117200,0
6158988804194,2
6158983102486,2
6158988410973,3
6158988804187,2
6158988804188,2
6158988410967,3
