Key, Value
10831907782672,0
10831909617700,1
10831910273068,2
10831912304714,0
10831912763484,0
10831910273076,2
10831911714886,0
10831909748826,1
10831907520585,2
10831907520610,2
10831910142024,1
10831910666308,2
10831907520568,2
10831907520538,2
10831908306988,2
10831911059540,3
10827612815376,0
10827614650404,1
10827615305772,2
10827617337418,0
10827617665110,2
10827615305780,2
10827616747590,0
10827614781530,1
10827612553289,2
10827612553314,2
10827615174728,1
10827615699012,2
10827612553272,2
10827612553242,2
10827613339692,2
10827616092244,3
10823317848080,0
10823319683108,1
10823320338476,2
10823322370122,0
10823322697814,2
10823322828892,0
10823320338484,2
10823321780294,0
10823319814234,1
10823317585993,2
10823317586018,2
10823320207432,1
10823320731716,2
10823317585976,2
10823317585946,2
10823318372396,2
10823321124922,2
10823321124948,3
10819022880784,0
10819024715812,1
10819025371180,2
10819027402826,0
10819027730518,2
10819027861596,0
10819025371188,2
10819026812998,0
10819024846938,1
10819022618697,2
10819022618722,2
10819025240136,1
10819022618680,2
10819022618650,2
10819023405100,2
10819026157626,2
10819026157652,3
10819025567820,2
10814727913488,0
10814729748516,1
10814730403884,2
10814732435530,0
10814732763222,2
10814732894300,0
10814730403892,2
10814731845702,0
10814729879642,1
10814727651401,2
10814727651426,2
10814730272840,1
10814730797124,2
10814727651384,2
10814728437804,2
10814731190356,3
10810432946192,0
10810434781220,1
10810435436588,2
10810437468234,0
10810437795926,2
10810437927004,0
10810435436596,2
10810436878406,0
10810434912346,1
10810432684105,2
10810432684130,2
10810435305544,1
10810435829828,2
10810432684088,2
10810433470508,2
10810436223060,3
10806137978896,0
10806139813924,1
10806140469292,2
10806142500938,0
10806142828630,2
10806142959708,0
10806140469300,2
10806141911110,0
10806139945050,1
10806137716809,2
10806137716834,2
10806140338248,1
10806140862532,2
10806137716792,2
10806138503212,2
10806141255764,3
10801843011600,0
10801844846628,1
10801845501996,2
10801847533642,0
10801847861334,2
10801847992412,0
10801845502004,2
10801846943814,0
10801844977754,1
10801842749513,2
10801842749538,2
10801845370952,1
10801845895236,2
10801842749496,2
10801843535916,2
10801846288468,3
10801848909923,1
10797548044304,0
10797549879332,1
10797550534700,2
10797552566346,0
10797553025116,0
10797550534708,2
10797551976518,0
10797550010458,1
10797547782217,2
10797547782242,2
10797550403656,1
10797550927940,2
10797547782200,2
10797548568620,2
10797551321172,3
10797553942627,1
10793253077008,0
10793254912036,1
10793255567404,2
10793257599050,0
10793257926742,2
10793258057820,0
10793255567412,2
10793257009222,0
10793255043162,1
10793252814921,2
10793252814946,2
10793255436360,1
10793255960644,2
10793252814904,2
10793253601324,2
10793256353876,3
10788958109712,0
10788959944740,1
10788960600108,2
10788962631754,0
10788962959446,2
10788963090524,0
10788960600116,2
10788962041926,0
10788960075866,1
10788957847625,2
10788957847650,2
10788960469064,1
10788960993348,2
10788957847608,2
10788958634028,2
10788961386580,3
10784663142416,0
10784664977444,1
10784665632812,2
10784667664458,0
10784667992150,2
10784668123228,0
10784667074630,0
10784665108570,1
10784662880329,2
10784662880354,2
10784665501768,1
10784666026052,2
10784662880312,2
10784663666732,2
10784666419284,3
10780368175120,0
10780370010148,1
10780370665516,2
10780372697162,0
10780373024854,2
10780373155932,0
10780370665524,2
10780372107334,0
10780370141274,1
10780367913033,2
10780367913058,2
10780370534472,1
10780371058756,2
10780367913016,2
10780368699436,2
10780371451988,3
10776073207824,0
10776075042852,1
10776075698220,2
10776077729866,0
10776078057558,2
10776078188636,0
10776075698228,2
10776077140038,0
10776075173978,1
10776072945737,2
10776072945762,2
10776075567176,1
10776076091460,2
