Agent, Maneuver,Fill, Tactic, Outline
776,c,4278255615,t,65535
777,f,16777215,d,4278190335
778,c,4278255615,c,16711935
779,f,16777215,t,65535
780,c,4278255615,d,4278190335
781,f,16777215,c,16711935
782,c,4278255615,t,65535
783,f,16777215,d,4278190335
784,c,4278255615,c,16711935
785,f,16777215,t,65535
786,c,4278255615,d,4278190335
787,f,16777215,c,16711935
788,c,4278255615,t,65535
789,f,16777215,d,4278190335
790,c,4278255615,c,16711935
791,f,16777215,t,65535
792,c,4278255615,d,4278190335
793,f,16777215,c,16711935
794,c,4278255615,t,65535
795,f,16777215,d,4278190335
796,c,4278255615,c,16711935
797,f,16777215,t,65535
798,c,4278255615,d,4278190335
799,f,16777215,c,16711935
800,c,4278255615,t,65535
801,f,16777215,d,4278190335
802,c,4278255615,c,16711935
803,f,16777215,t,65535
804,c,4278255615,d,4278190335
805,f,16777215,c,16711935
806,c,4278255615,t,65535
807,f,16777215,d,4278190335
808,c,4278255615,c,16711935
809,f,16777215,t,65535
810,c,4278255615,d,4278190335
811,f,16777215,c,16711935
812,c,4278255615,t,65535
813,f,16777215,d,4278190335
814,c,4278255615,c,16711935
815,f,16777215,t,65535
816,c,4278255615,d,4278190335
817,f,16777215,c,16711935
818,c,4278255615,t,65535
819,f,16777215,d,4278190335
820,c,4278255615,c,16711935
821,f,16777215,t,65535
822,c,4278255615,d,4278190335
823,f,16777215,c,16711935
824,c,4278255615,t,65535
825,f,16777215,d,4278190335
826,c,4278255615,c,16711935
827,f,16777215,t,65535
828,c,4278255615,d,4278190335
829,f,16777215,c,16711935
830,c,4278255615,t,65535
831,f,16777215,d,4278190335
832,c,4278255615,c,16711935
833,f,16777215,t,65535
834,c,4278255615,d,4278190335
835,f,16777215,c,16711935
836,c,4278255615,t,65535
837,f,16777215,d,4278190335
838,c,4278255615,c,16711935
839,f,16777215,t,65535
840,c,4278255615,d,4278190335
841,f,16777215,c,16711935
842,c,4278255615,t,65535
843,f,16777215,d,4278190335
844,c,4278255615,c,16711935
845,f,16777215,t,65535
846,c,4278255615,d,4278190335
847,f,16777215,c,16711935
848,c,4278255615,t,65535
849,f,16777215,d,4278190335
850,c,4278255615,c,16711935
851,f,16777215,t,65535
852,c,4278255615,d,4278190335
853,f,16777215,c,16711935
854,c,4278255615,t,65535
855,f,16777215,d,4278190335
856,c,4278255615,c,16711935
857,f,16777215,t,65535
858,c,4278255615,d,4278190335
859,f,16777215,c,16711935
860,c,4278255615,t,65535
861,f,16777215,d,4278190335
862,c,4278255615,c,16711935
863,f,16777215,t,65535
864,c,4278255615,d,4278190335
865,f,16777215,c,16711935
866,c,4278255615,t,65535
867,f,16777215,d,4278190335
868,c,4278255615,c,16711935
869,f,16777215,t,65535
870,c,4278255615,d,4278190335
871,f,16777215,c,16711935
872,c,4278255615,t,65535
873,f,16777215,d,4278190335
