Key, Value
1576253521932,1
1576253128714,0
1576254177300,2
1576253259792,0
1576254570521,2
1576254832672,0
1576254767142,2
1576255750188,2
1576252997678,2
1576254636074,1
1576254898224,1
1576255946802,2
1576255619123,1
1576252997683,3
1576255881268,0
1576256274486,1
1576256667708,1
1576256405567,1
1576256274495,1
1576257060930,1
1576257126468,2
1576256340040,3
1576252997704,3
1576257323086,3
1576257519700,3
1576258240596,1
1576258109526,2
1576257519702,2
1576258502743,3
1576258371672,0
1576252997721,2
1576258895964,2
1576258437215,0
1576258961504,1
1576252997729,2
1576259223650,0
1576255488042,1
1576257519697,3
1576259027037,1
1576254636064,0
1576254701597,0
1576255684682,0
1576257781841,1
1571958554636,1
1571958161418,0
1571959210004,2
1571958292496,0
1571959603225,2
1571958030366,3
1571959799846,2
1571960782892,2
1571958030382,2
1571959668778,1
1571959930928,1
1571960979506,2
1571960651827,1
1571958030387,3
1571960913972,0
1571961307190,1
1571961700412,1
1571961438271,1
1571961307199,1
1571962093634,1
1571962159172,2
1571961372744,3
1571958030408,3
1571962355790,3
1571962552404,3
1571963273300,1
1571962552406,2
1571963535447,3
1571963404376,0
1571963928668,2
1571963469919,0
1571963994208,1
1571958030433,2
1571964190818,0
1571964256354,0
1571960520746,1
1571964059741,1
1571959668768,0
1571959734301,0
1571960717386,0
1567663587340,1
1567663194122,0
1567664242708,2
1567663325200,0
1567664635929,2
1567663063070,3
1567664832550,2
1567665815596,2
1567665553453,1
1567663063086,2
1567664701482,1
1567664963632,1
1567666012210,2
1567665684531,1
1567663063091,3
1567665946676,0
1567666339894,1
1567666733116,1
1567666470975,1
1567666339903,1
1567667060800,0
1567667126338,1
1567667191876,2
1567666405448,3
1567663063112,3
1567667388494,3
1567667585108,3
1567668306004,1
1567667585110,2
1567668568151,3
1567668437080,0
1567668961372,2
1567668502623,0
1567669026912,1
1567663063137,2
1567669223522,0
1567669289058,0
1567665553450,1
1567669092445,1
1567664701472,0
1567664767005,0
1567665750090,0
1563368620044,1
1563369275412,2
1563368357904,0
1563369668633,2
1563368095774,3
1563369865254,2
1563370848300,2
1563370586157,1
1563368095790,2
1563369734186,1
1563369996336,1
1563371044914,2
1563370717235,1
1563368095795,3
1563370979380,0
1563371372598,1
1563371765820,1
1563371503679,1
1563371372607,1
1563372093504,0
1563372159042,1
1563372224580,2
1563371438152,3
1563368095816,3
1563372421198,3
1563372617812,3
1563373338708,1
1563372617814,2
1563373600855,3
1563373469784,0
1563373994076,2
1563373535327,0
1563374256226,0
1563374321762,0
1563371962450,0
1563374125149,1
1563369734176,0
1563369799709,0
1563370782794,0
1559073652748,1
1559073390608,0
1559074701337,2
1559073128478,3
1559074897958,2
1559075881004,2
1559075618861,1
1559073128494,2
1559074766890,1
1559075029040,1
1559076077618,2
1559073128499,3
1559076012084,0
1559076405302,1
1559076798524,1
1559076536383,1
1559076405311,1
1559077191746,1
1559077257284,2
1559076470856,3
1559073128520,3
1559077453902,3
1559077650516,3
1559078371412,1
1559077650518,2
1559078633559,3
1559078502488,0
1559079026780,2
1559079092322,0
1559079288930,0
1559079354466,0
1559076995154,0
1559079157853,1
1559074766880,0
1559074832413,0
1559075815498,0
1554778685452,1
1554779340820,2
1554778423312,0
1554779734041,2
1554778161182,3
1554779930662,2
1554780389417,0
1554780913708,2
1554780651565,1
1554778161198,2
1554779799594,1
1554780061744,1
1554781110322,2
1554780782643,1
1554778161203,3
1554781044788,0
1554781438006,1
1554778161207,2
1554781372474,0
1554781831228,1
1554781569087,1
1554781438015,1
1554782224450,1
1554782289988,2
1554781044799,1
1554781503560,3
1554778161224,3
1554782486606,3
1554782879826,2
1554782683220,3
1554783404116,1
1554782683222,2
1554783666263,3
1554783535192,0
1554783338586,1
1554784059484,2
1554784125024,1
1554784125026,0
1554784321634,0
1554782027858,0
1554782683217,3
1554784190557,1
1554779799584,0
1554779865117,0
1554780848202,0
1550483718156,1
1550484373524,2
1550483456016,0
1550484766745,2
1550483193886,3
1550485028896,0
1550484963366,2
1550485946412,2
1550483193902,2
1550484832298,1
1550485094448,1
1550486143026,2
1550485815347,1
1550483193907,3
1550486077492,0
1550486470710,1
1550483193911,2
1550486405178,0
1550486863932,1
1550486601791,1
1550486470719,1
1550487191616,0
1550487257154,1
1550487322692,2
1550486536264,3
1550483193928,3
1550487519310,3
1550487912530,2
1550487715924,3
1550488436820,1
1550487715926,2
1550487781462,0
1550488698967,3
1550488567896,0
1550488371290,1
1550489092188,2
1550489157728,1
1550489157730,0
1550489354338,0
1550487060562,0
1550487715921,3
1550489223261,1
1550484832288,0
1550484897821,0
1550485880906,0
1550487584845,0
1546188750860,1
1546189406228,2
1546188488720,0
1546189799449,2
1546188226590,3
1546190061600,0
1546189996070,2
1546190979116,2
1546188226606,2
1546189865002,1
1546190127152,1
1546191175730,2
1546190848051,1
1546188226611,3
